index,1, rsu_latitude, rsu_longitude, obu_latitude, obu_longitude,0, distance, rssi
193,1,374124620,1271229770,374102656,1271244698,0,0,-255
194,1,374124620,1271229770,374102522,1271244789,0,0,-255
195,1,374124620,1271229770,374102387,1271244881,0,0,-255
196,1,374124620,1271229770,374102253,1271244972,0,0,-255
197,1,374124620,1271229770,374102119,1271245063,0,0,-255
198,1,374124620,1271229770,374101986,1271245153,0,0,-255
199,1,374124620,1271229770,374101840,1271245253,0,0,-255
200,1,374124620,1271229770,374101708,1271245342,0,0,-255
201,1,374124620,1271229770,374101575,1271245433,0,0,-255
202,1,374124620,1271229770,374101442,1271245523,0,0,-255
203,1,374124620,1271229770,374101309,1271245613,0,0,-255
204,1,374124620,1271229770,374101176,1271245704,0,0,-255
205,1,374124620,1271229770,374101043,1271245794,0,0,-255
206,1,374124620,1271229770,374100910,1271245885,0,0,-255
207,1,374124620,1271229770,374100777,1271245975,0,0,-255
208,1,374124620,1271229770,374100643,1271246066,0,0,-255
209,1,374124620,1271229770,374100497,1271246165,0,0,-255
210,1,374124620,1271229770,374100363,1271246257,0,0,-255
211,1,374124620,1271229770,374100228,1271246348,0,0,-255
212,1,374124620,1271229770,374100095,1271246439,0,0,-255
213,1,374124620,1271229770,374099961,1271246529,0,0,-255
214,1,374124620,1271229770,374099828,1271246620,0,0,-255
215,1,374124620,1271229770,374099693,1271246712,0,0,-255
216,1,374124620,1271229770,374099546,1271246812,0,0,-255
217,1,374124620,1271229770,374099413,1271246902,0,0,-255
218,1,374124620,1271229770,374099280,1271246993,0,0,-255
219,1,374124620,1271229770,374099146,1271247083,0,0,-255
220,1,374124620,1271229770,374099013,1271247174,0,0,-255
221,1,374124620,1271229770,374098880,1271247264,0,0,-255
222,1,374124620,1271229770,374098746,1271247355,0,0,-255
223,1,374124620,1271229770,374098613,1271247446,0,0,-255
224,1,374124620,1271229770,374098480,1271247536,0,0,-255
225,1,374124620,1271229770,374098347,1271247626,0,0,-255
226,1,374124620,1271229770,374098201,1271247726,0,0,-255
