index, rsu_latitude, rsu_longitude, obu_latitude, obu_longitude, distance, rssi
110,375560713,1270477027,375560208,1270475581,0,-255
111,375560713,1270477027,375560206,1270475582,0,-255
112,375560713,1270477027,375560206,1270475582,0,-255
113,375560713,1270477027,375560204,1270475582,0,-255
114,375560713,1270477027,375560203,1270475583,0,-255
115,375560713,1270477027,375560201,1270475585,0,-255
116,375560713,1270477027,375560200,1270475585,0,-255
117,375560713,1270477027,375560199,1270475585,0,-255
118,375560713,1270477027,375560198,1270475585,0,-255
119,375560713,1270477027,375560196,1270475586,0,-255
120,375560713,1270477027,375560194,1270475588,0,-255
121,375560713,1270477027,375560193,1270475589,0,-255
122,375560713,1270477027,375560192,1270475589,0,-255
123,375560713,1270477027,375560191,1270475590,0,-255
124,375560713,1270477027,375560189,1270475591,0,-255
125,375560713,1270477027,375560187,1270475592,0,-255
126,375560713,1270477027,375560186,1270475592,0,-255
127,375560713,1270477027,375560185,1270475593,0,-255
128,375560713,1270477027,375560183,1270475593,0,-255
129,375560713,1270477027,375560181,1270475595,0,-255
130,375560713,1270477027,375560179,1270475596,0,-255
131,375560713,1270477027,375560178,1270475597,0,-255
132,375560713,1270477027,375560177,1270475597,0,-255
133,375560713,1270477027,375560175,1270475598,0,-255
134,375560713,1270477027,375560173,1270475599,0,-255
135,375560713,1270477027,375560171,1270475601,0,-255
136,375560713,1270477027,375560170,1270475601,0,-255
137,375560713,1270477027,375560169,1270475601,0,-255
138,375560713,1270477027,375560167,1270475603,0,-255
139,375560713,1270477027,375560164,1270475604,0,-255
140,375560713,1270477027,375560162,1270475606,0,-255
141,375560713,1270477027,375560160,1270475607,0,-255
142,375560713,1270477027,375560158,1270475608,0,-255
143,375560713,1270477027,375560156,1270475609,0,-255
144,375560713,1270477027,375560154,1270475611,0,-255
145,375560713,1270477027,375560152,1270475613,0,-255
146,375560713,1270477027,375560150,1270475613,0,-255
147,375560713,1270477027,375560149,1270475613,0,-255
148,375560713,1270477027,375560148,1270475614,0,-255
149,375560713,1270477027,375560145,1270475615,0,-255
150,375560713,1270477027,375560143,1270475617,0,-255
151,375560713,1270477027,375560142,1270475617,0,-255
152,375560713,1270477027,375560140,1270475618,0,-255
153,375560713,1270477027,375560138,1270475619,0,-255
154,375560713,1270477027,375560136,1270475620,0,-255
155,375560713,1270477027,375560134,1270475621,0,-255
156,375560713,1270477027,375560133,1270475621,0,-255
157,375560713,1270477027,375560132,1270475622,0,-255
158,375560713,1270477027,375560130,1270475623,0,-255
159,375560713,1270477027,375560127,1270475624,0,-255
160,375560713,1270477027,375560125,1270475626,0,-255
161,375560713,1270477027,375560123,1270475626,0,-255
162,375560713,1270477027,375560121,1270475627,0,-255
163,375560713,1270477027,375560119,1270475628,0,-255
164,375560713,1270477027,375560115,1270475631,0,-255
165,375560713,1270477027,375560113,1270475632,0,-255
166,375560713,1270477027,375560112,1270475632,0,-255
167,375560713,1270477027,375560110,1270475632,0,-255
168,375560713,1270477027,375560108,1270475634,0,-255
169,375560713,1270477027,375560105,1270475635,0,-255
170,375560713,1270477027,375560103,1270475636,0,-255
171,375560713,1270477027,375560102,1270475637,0,-255
172,375560713,1270477027,375560100,1270475637,0,-255
