index,type, rsu_latitude, rsu_longitude, obu_latitude, obu_longitude,per, distance, rssi
137,1,375552472,1270477786,375556632,1270474655,0,0,-66
138,1,375552472,1270477786,375556632,1270474655,0,0,-66
139,1,375552472,1270477786,375556632,1270474655,0,0,-66
140,1,375552472,1270477786,375556632,1270474655,0,0,-66
141,1,375552472,1270477786,375556632,1270474655,0,0,-66
142,1,375552472,1270477786,375556632,1270474655,0,0,-66
143,1,375552472,1270477786,375556474,1270474817,0,0,-66
144,1,375552472,1270477786,375556474,1270474817,0,0,-66
145,1,375552472,1270477786,375556474,1270474817,0,0,-66
146,1,375552472,1270477786,375556474,1270474817,0,0,-66
147,1,375552472,1270477786,375556474,1270474817,0,0,-66
148,1,375552472,1270477786,375556474,1270474817,0,0,-66
149,1,375552472,1270477786,375556474,1270474817,0,0,-66
150,1,375552472,1270477786,375556474,1270474817,0,0,-66
151,1,375552472,1270477786,375556474,1270474817,0,0,-66
152,1,375552472,1270477786,375556474,1270474817,0,0,-66
153,1,375552472,1270477786,375556311,1270474947,0,0,-66
154,1,375552472,1270477786,375556311,1270474947,0,0,-66
155,1,375552472,1270477786,375556311,1270474947,0,0,-66
156,1,375552472,1270477786,375556311,1270474947,0,0,-66
157,1,375552472,1270477786,375556311,1270474947,0,0,-66
158,1,375552472,1270477786,375556311,1270474947,0,0,-66
159,1,375552472,1270477786,375556311,1270474947,0,0,-66
160,1,375552472,1270477786,375556311,1270474947,0,0,-66
161,1,375552472,1270477786,375556311,1270474947,0,0,-66
162,1,375552472,1270477786,375556311,1270474947,0,0,-66
163,1,375552472,1270477786,375556147,1270475076,0,0,-66
164,1,375552472,1270477786,375556147,1270475076,0,0,-66
165,1,375552472,1270477786,375556147,1270475076,0,0,-66
166,1,375552472,1270477786,375556147,1270475076,0,0,-66
167,1,375552472,1270477786,375556147,1270475076,0,0,-66
168,1,375552472,1270477786,375556147,1270475076,0,0,-66
169,1,375552472,1270477786,375556147,1270475076,0,0,-66
170,1,375552472,1270477786,375556147,1270475076,0,0,-66
171,1,375552472,1270477786,375556147,1270475076,0,0,-66
172,1,375552472,1270477786,375556147,1270475076,0,0,-66
173,1,375552472,1270477786,375555964,1270475161,0,0,-66
174,1,375552472,1270477786,375555964,1270475161,0,0,-66
175,1,375552472,1270477786,375555964,1270475161,0,0,-66
176,1,375552472,1270477786,375555964,1270475161,0,0,-66
177,1,375552472,1270477786,375555964,1270475161,0,0,-66
178,1,375552472,1270477786,375555964,1270475161,0,0,-66
179,1,375552472,1270477786,375555964,1270475161,0,0,-66
180,1,375552472,1270477786,375555964,1270475161,0,0,-66
181,1,375552472,1270477786,375555964,1270475161,0,0,-66
182,1,375552472,1270477786,375555789,1270475237,0,0,-66
183,1,375552472,1270477786,375555789,1270475237,0,0,-66
184,1,375552472,1270477786,375555789,1270475237,0,0,-66
185,1,375552472,1270477786,375555789,1270475237,0,0,-66
