index,tyop, rsu_latitude, rsu_longitude, obu_latitude, obu_longitude,per, distance, rssi
52,1,375560713,1270477027,375555484,1270471056,1,0,-255
53,1,375560713,1270477027,375555485,1270471057,1,0,-255
54,1,375560713,1270477027,375555485,1270471056,1,0,-255
55,1,375560713,1270477027,375555485,1270471055,1,0,-255
56,1,375560713,1270477027,375555486,1270471054,1,0,-255
57,1,375560713,1270477027,375555486,1270471053,1,0,-255
58,1,375560713,1270477027,375555486,1270471054,1,0,-255
59,1,375560713,1270477027,375555486,1270471054,1,0,-59
60,1,375560713,1270477027,375555502,1270471241,1,0,-59
61,1,375560713,1270477027,375555502,1270471240,1,0,-59
62,1,375560713,1270477027,375555502,1270471240,1,0,-59
63,1,375560713,1270477027,375555502,1270471240,1,0,-59
64,1,375560713,1270477027,375555502,1270471240,1,0,-59
65,1,375560713,1270477027,375555502,1270471239,1,0,-59
66,1,375560713,1270477027,375555503,1270471238,1,0,-59
67,1,375560713,1270477027,375555503,1270471238,1,0,-59
68,1,375560713,1270477027,375555503,1270471239,1,0,-59
69,1,375560713,1270477027,375555503,1270471239,1,0,-59
70,1,375560713,1270477027,375555510,1270471424,1,0,-62
71,1,375560713,1270477027,375555510,1270471423,1,0,-62
72,1,375560713,1270477027,375555510,1270471423,1,0,-62
73,1,375560713,1270477027,375555510,1270471423,1,0,-62
74,1,375560713,1270477027,375555510,1270471424,1,0,-62
75,1,375560713,1270477027,375555510,1270471423,1,0,-62
76,1,375560713,1270477027,375555510,1270471422,1,0,-62
77,1,375560713,1270477027,375555510,1270471422,1,0,-62
78,1,375560713,1270477027,375555510,1270471422,1,0,-62
79,1,375560713,1270477027,375555510,1270471423,1,0,-62
80,1,375560713,1270477027,375555514,1270471605,1,0,-62
81,1,375560713,1270477027,375555514,1270471604,1,0,-62
82,1,375560713,1270477027,375555514,1270471604,1,0,-62
83,1,375560713,1270477027,375555514,1270471604,1,0,-62
84,1,375560713,1270477027,375555514,1270471604,1,0,-61
85,1,375560713,1270477027,375555514,1270471604,1,0,-61
86,1,375560713,1270477027,375555513,1270471603,1,0,-61
87,1,375560713,1270477027,375555513,1270471603,1,0,-61
88,1,375560713,1270477027,375555513,1270471603,1,0,-61
89,1,375560713,1270477027,375555513,1270471604,1,0,-61
90,1,375560713,1270477027,375555513,1270471605,1,0,-61
91,1,375560713,1270477027,375555513,1270471604,1,0,-61
92,1,375560713,1270477027,375555512,1270471604,1,0,-61
93,1,375560713,1270477027,375555512,1270471604,1,0,-61
94,1,375560713,1270477027,375555512,1270471604,1,0,-61
95,1,375560713,1270477027,375555512,1270471605,1,0,-61
96,1,375560713,1270477027,375555511,1270471605,1,0,-63
97,1,375560713,1270477027,375555511,1270471604,1,0,-63
98,1,375560713,1270477027,375555511,1270471604,1,0,-63
99,1,375560713,1270477027,375555511,1270471605,1,0,-63
100,1,375560713,1270477027,375555510,1270471606,1,0,-63
101,1,375560713,1270477027,375555510,1270471607,1,0,-63
102,1,375560713,1270477027,375555510,1270471606,1,0,-63
103,1,375560713,1270477027,375555509,1270471606,1,0,-63
104,1,375560713,1270477027,375555509,1270471606,1,0,-63
105,1,375560713,1270477027,375555509,1270471607,1,0,-63
106,1,375560713,1270477027,375555499,1270471966,1,0,-63
107,1,375560713,1270477027,375555498,1270471966,1,0,-63
108,1,375560713,1270477027,375555498,1270471965,1,0,-66
109,1,375560713,1270477027,375555498,1270471966,1,0,-66
110,1,375560713,1270477027,375555495,1270472158,1,0,-66
111,1,375560713,1270477027,375555495,1270472159,1,0,-66
112,1,375560713,1270477027,375555495,1270472159,1,0,-66
113,1,375560713,1270477027,375555494,1270472159,1,0,-66
114,1,375560713,1270477027,375555494,1270472159,1,0,-60
115,1,375560713,1270477027,375555494,1270472160,1,0,-60
116,1,375560713,1270477027,375555493,1270472161,1,0,-60
117,1,375560713,1270477027,375555493,1270472161,1,0,-60
118,1,375560713,1270477027,375555493,1270472161,1,0,-60
119,1,375560713,1270477027,375555492,1270472161,1,0,-60
120,1,375560713,1270477027,375555508,1270472356,1,0,-60
121,1,375560713,1270477027,375555507,1270472357,1,0,-59
122,1,375560713,1270477027,375555507,1270472358,1,0,-59
123,1,375560713,1270477027,375555507,1270472358,1,0,-59
124,1,375560713,1270477027,375555506,1270472358,1,0,-59
125,1,375560713,1270477027,375555506,1270472358,1,0,-59
126,1,375560713,1270477027,375555505,1270472359,1,0,-59
